Country,Year,GDP per Capita
Grenada,2018,10083.021279225
Guam,2021,38074.8793745801
Guam,2020,36482.9363953675
Guam,2019,39274.9431424899
Guam,2018,37195.9503070464
Guatemala,2021,4913.94712869347
Guatemala,2020,4477.61761796418
Guatemala,2019,4511.99755157656
Guatemala,2018,4352.94651790253
Guinea,2021,1244.96550477914
Guinea,2020,1053.66097696415
Guinea,2019,1031.34146480732
Guinea,2018,933.273615633705
Guinea-Bissau,2021,900.407780831491
Guinea-Bissau,2020,817.780335749159
Guinea-Bissau,2019,807.359903965493
Guinea-Bissau,2018,808.531613218504
Guyana,2021,9860.87233445443
Guyana,2020,6775.70939096303
Guyana,2019,6405.82443444562
Guyana,2018,6048.38697180418
Haiti,2021,1835.44394078496
Haiti,2020,1290.32538667383
Haiti,2019,1352.17204191532
Haiti,2018,1496.38048970156
Honduras,2021,2735.14751503977
Honduras,2020,2307.61494319511
Honduras,2019,2502.32744328073
Honduras,2018,2464.64241531918
"Hong Kong SAR, China",2021,49770.5642374739
"Hong Kong SAR, China",2020,46109.2299946609
"Hong Kong SAR, China",2019,48359.0011950597
"Hong Kong SAR, China",2018,48537.5668888343
Hungary,2021,18755.1023464312
Hungary,2020,16131.9540355923
Hungary,2019,16786.2136399075
Hungary,2018,16425.2050299693
Iceland,2021,69325.9078287926
Iceland,2020,59023.5663465778
Iceland,2019,68452.23622306
Iceland,2018,74452.1890731447
India,2021,2239.61384367482
India,2020,1907.04251637669
India,2019,2041.42863698585
India,2018,1966.25455171679
Indonesia,2021,4287.17313989405
Indonesia,2020,3853.70288778903
Indonesia,2019,4106.94856173421
Indonesia,2018,3860.95353077708
"Iran, Islamic Rep.",2021,4334.79268631354
"Iran, Islamic Rep.",2020,2988.78122414716
"Iran, Islamic Rep.",2019,3831.27894763337
"Iran, Islamic Rep.",2018,4631.78709016514
Iraq,2021,4868.49431080783
Iraq,2020,4295.18945121228
Iraq,2019,5671.8568632942
Iraq,2018,5646.68932074742
Ireland,2021,105561.137468992
Ireland,2020,87567.1148972037
Ireland,2019,82508.4659883582
Ireland,2018,81248.3135388
Isle of Man,2021,94299.969348965
Isle of Man,2020,79513.5330346598
Isle of Man,2019,87127.5517977404
Isle of Man,2018,89393.8244248812
Israel,2021,52255.6159050999
Israel,2020,44679.7715799755
Israel,2019,44140.8289372511
Israel,2018,42233.2610344935
Italy,2021,36852.5425414951
Italy,2020,32091.4866621366
Italy,2019,33812.788724868
Italy,2018,34746.3441392416
Jamaica,2021,5165.33780988607
Jamaica,2020,4879.44024631319
Jamaica,2019,5607.24300668501
Jamaica,2018,5578.10346083169
Japan,2021,40058.5373276179
Japan,2020,40040.7655055923
Japan,2019,40415.9567649547
Japan,2018,39751.1330982711
Jordan,2021,4183.49998326866
Jordan,2020,4022.0401356135
Jordan,2019,4170.1144003465
Jordan,2018,4145.43989673265
Kazakhstan,2021,9983.60103576902
Kazakhstan,2020,8781.50797787648
Kazakhstan,2019,9457.12614657136
Kazakhstan,2018,9472.48527327758
Kenya,2021,2061.35622089594
Kenya,2020,1927.66459027849
Kenya,2019,1960.40808854893
Kenya,2018,1836.45275528993
Kiribati,2021,2253.82500103057
Kiribati,2020,1769.43211760217
Kiribati,2019,1750.99750920482
Kiribati,2018,1912.73798131035
"Korea, Rep.",2021,35125.5224984723
"Korea, Rep.",2020,31721.2989141857
"Korea, Rep.",2019,31902.4169048194
"Korea, Rep.",2018,33447.1562836166
Kosovo,2021,5270.42670206205
Kosovo,2020,4310.88824737367
Kosovo,2019,4415.99716107514
Kosovo,2018,4384.18624084947
Kuwait,2021,34043.542153557
Kuwait,2020,25236.0755520534
Kuwait,2019,31707.8737464917
Kuwait,2018,32067.9623689512
Kyrgyz Republic,2021,1349.99730650542
Kyrgyz Republic,2020,1229.51775742135
Kyrgyz Republic,2019,1421.99927504102
Kyrgyz Republic,2018,1283.52040333083
Lao PDR,2021,2526.05105018529
Lao PDR,2020,2583.77730696131
Lao PDR,2019,2589.32081035237
Lao PDR,2018,2545.1075420815
Latvia,2021,20262.8433862451
Latvia,2020,17564.2321549354
Latvia,2019,17294.9751600969
Latvia,2018,17252.1710428626
Lebanon,2021,4045.37391066234
Lebanon,2020,5561.19166950397
Lebanon,2019,8905.88005497437
Lebanon,2018,9174.53666204759
Lesotho,2021,1066.58645143823
Lesotho,2020,918.582577421982
Lesotho,2019,1082.05706777516
Lesotho,2018,1170.65569702819
Liberia,2021,667.96610514319
Liberia,2020,616.787867006715
Liberia,2019,658.164180770507
Liberia,2018,692.203127129794
Libya,2021,4935.82787349801
Libya,2020,6650.33810585348
Libya,2019,9963.19489084483
Libya,2018,11196.5854810844
Liechtenstein,2021,196783.729414593
Liechtenstein,2020,164671.093553454
Liechtenstein,2019,166907.839305016
Liechtenstein,2018,174988.775083446
Lithuania,2021,23934.728489916
Lithuania,2020,20541.824988603
Lithuania,2019,19727.7607453736
Lithuania,2018,19368.5391045353
Luxembourg,2021,133711.794435985
Luxembourg,2020,116905.370396853
Luxembourg,2019,112726.439672814
Luxembourg,2018,116786.511654677
"Macao SAR, China",2021,45376.314586156
"Macao SAR, China",2020,36976.2561071429
"Macao SAR, China",2019,81967.699172769
"Macao SAR, China",2018,83761.8171798142
Madagascar,2021,490.206238571448
Madagascar,2020,450.771615201509
Madagascar,2019,499.818837622534
Madagascar,2018,500.45718552916
Malawi,2021,617.447520802454
Malawi,2020,602.507478176106
Malawi,2019,580.889816066776
Malawi,2018,533.203173686705
Malaysia,2021,10903.1116425938
Malaysia,2020,9957.52626697613
Malaysia,2019,10920.191763972
Malaysia,2018,10901.8019954421
Maldives,2021,10176.143882547
Maldives,2020,7393.8886543933
Maldives,2019,11740.2724029785
Maldives,2018,11423.2838427029
Mali,2021,862.467400106111
Mali,2020,804.343956745857
Mali,2019,820.197390833912
Mali,2018,835.086710561793
Malta,2021,38027.3801730893
Malta,2020,31796.8213417258
Malta,2019,32412.2697818499
Malta,2018,33332.1905601302
Marshall Islands,2021,6258.61193705127
Marshall Islands,2020,5661.96787336674
Marshall Islands,2019,5292.33985502306
Marshall Islands,2018,4858.12079054875
Mauritania,2021,1947.78918383313
Mauritania,2020,1795.76459566714
Mauritania,2019,1767.072710621
Mauritania,2018,1722.93528854073
Mauritius,2021,9068.97300226707
Mauritius,2020,9011.04288445023
Mauritius,2019,11403.2527870674
Mauritius,2018,11643.4605962124
Mexico,2021,10314.0506741437
Mexico,2020,8841.27075003163
Mexico,2019,10369.5553568761
Mexico,2018,10084.7937562021
"Micronesia, Fed. Sts.",2021,3493.87228552999
"Micronesia, Fed. Sts.",2020,3353.8894298388
"Micronesia, Fed. Sts.",2019,3572.65918282222
"Micronesia, Fed. Sts.",2018,3566.58690371125
Moldova,2021,5274.60582195352
Moldova,2020,4375.7788930524
Moldova,2019,4405.33418162155
Moldova,2018,4156.44981956646
Monaco,2021,223823.363960226
Monaco,2020,176891.886538492
Monaco,2019,193746.785647412
Monaco,2018,188298.315668437
Mongolia,2021,4517.61578018785
Mongolia,2020,4001.25193077703
Mongolia,2019,4347.54610314873
Mongolia,2018,4107.64288528468
Montenegro,2021,9465.96153027794
Montenegro,2020,7677.37132106817
Montenegro,2019,8909.6538759126
Montenegro,2018,8850.3749248372
Morocco,2021,3785.93627929688
Morocco,2020,3268.0302734375
Morocco,2019,3508.09765625
Morocco,2018,3501.69799804688
Mozambique,2021,509.907829475551
Mozambique,2020,462.433876479921
Mozambique,2019,519.09255091362
Mozambique,2018,517.507260258101
Myanmar,2021,1242.72134419599
Myanmar,2020,1490.21683548367
Myanmar,2019,1425.98954211903
Myanmar,2018,1298.21310320785
Namibia,2021,4412.8355693052
Namibia,2020,3878.58982993966
Namibia,2019,4731.9210318831
Namibia,2018,5308.60813408705
Nauru,2021,14989.6647450751
Nauru,2020,10695.6993301601
Nauru,2019,10776.8284610316
Nauru,2018,11408.6947593898
Nepal,2021,1252.75076731986
Nepal,2020,1154.21517578318
Nepal,2019,1203.14294706401
Nepal,2018,1179.19843190389
Netherlands,2021,60141.9880911492
Netherlands,2020,53467.9277413737
Netherlands,2019,53554.9007491475
Netherlands,2018,53955.0770024266
New Caledonia,2021,35311.5543551452
New Caledonia,2020,33270.330597637
New Caledonia,2019,33411.3358835672
New Caledonia,2018,34902.8968780031
New Zealand,2021,49624.1816729553
New Zealand,2020,41785.6922905898
New Zealand,2019,42747.2099299966
New Zealand,2018,43228.6976473771
Nicaragua,2021,2128.60980633198
Nicaragua,2020,1931.61515811642
Nicaragua,2019,1958.62132892996
Nicaragua,2018,2035.16750115975
Niger,2021,608.722439593808
Niger,2020,579.512495758236
Niger,2019,561.691304349698
Niger,2018,578.568035680892
Nigeria,2021,2017.27486481527
Nigeria,2020,2019.65706326224
Nigeria,2019,2265.15520863056
Nigeria,2018,2057.87944554011
North Macedonia,2021,7620.80296977508
North Macedonia,2020,6659.59651070776
North Macedonia,2019,6718.85826635458
North Macedonia,2018,6713.98925398989
Northern Mariana Islands,2021,19455.50139424
Northern Mariana Islands,2020,18220.8382427201
Northern Mariana Islands,2019,24496.6652122421
Northern Mariana Islands,2018,26509.3628379893
Norway,2021,93072.8925119571
Norway,2020,68340.0181033702
Norway,2019,76430.5889473338
Norway,2018,82792.8427113304
Oman,2021,19403.4600160211
Oman,2020,16784.8630630058
Oman,2019,19180.1864152801
Oman,2018,19901.7615642016
Pakistan,2021,1455.31922370186
